APNXId,displayName,dataProvider,DataCost,MinCPM,PercentOfMedia,member_id,provider,code,subtype
155966,Advanced Demo:Time at Primary Residence:6-10 Years,Lotame,0.75,,,422,,6145,Advanced Demo
155967,Advanced Demo:Time at Primary Residence:10+ Years,Lotame,0.75,,,422,,6146,Advanced Demo
155968,Advanced Demo:Primary Residence:Owns,Lotame,0.75,,,422,,6147,Advanced Demo
155969,Advanced Demo:Primary Residence:Rents,Lotame,0.75,,,422,,6148,Advanced Demo
155970,Advanced Demo:Credit Level:Excellent,Lotame,0.75,,,422,,6117,Advanced Demo
155971,Advanced Demo:Credit Level:Good,Lotame,0.75,,,422,,6118,Advanced Demo
155972,Advanced Demo:Credit Level:Poor,Lotame,0.75,,,422,,6119,Advanced Demo
155973,Online Communities:Influencers:Commenters,Lotame,1,,,422,,6155,Advanced Demo
155974,Online Communities:Content Sharers,Lotame,1,,,422,,6156,Advanced Demo
155975,Online Communities:Influencers,Lotame,1,,,422,,5598,Online Communities
156719,SBO Shoppers,exelate,1,,,39,exelate,1481,Smart Segments
199932,Halloween,Lotame,,,,422,,7464,Holiday
199933,Thanksgiving Food,Lotame,,,,422,,7465,Holiday
199934,Thanksgiving Travel,Lotame,,,,422,,7466,Holiday
199935,Holiday Shopping Season,Lotame,,,,422,,7467,Holiday
202794,Finance Professionals,Lotame,,,,422,,7875,Business
202795,IT Professionals,Lotame,,,,422,,7867,Business
202796,Small Business Professionals,Lotame,,,,422,,7876,Business
202797,XBOX 360 Users,Lotame,,,,422,,6050,Arts & Entertainment
213916,Computers & Technology,Lotame,,,,422,,,
219017,Home & Garden:Home Decorating,Lotame,,,,422,,8393,Home & Garden
219018,Home & Garden:Home Improvement,Lotame,,,,422,,8392,Home & Garden
219019,International:UK All Users,Lotame,,,,422,,5700,International
219020,International:UK Age:18-24,Lotame,,,,422,,5794,International
219021,International:UK Age:25-34,Lotame,,,,422,,5795,International
219022,International:UK Age:35-49,Lotame,,,,422,,5796,International
219023,International:UK Age:50+,Lotame,,,,422,,5797,International
219024,International:UK Female Gender,Lotame,,,,422,,5791,International
219025,International:UK Male Gender,Lotame,,,,422,,5793,International
219026,International:UK Movies,Lotame,,,,422,,5800,International
219027,International:UK News,Lotame,,,,422,,5799,International
219028,International:UK Soccer,Lotame,,,,422,,5803,International
219029,International:UK Social Media Users,Lotame,,,,422,,5798,International
219030,International:UK Sports,Lotame,,,,422,,5802,International
