APNXId,displayName,dataProvider,DataCost,MinCPM,PercentOfMedia,subtype
143534,Travel:USA:Michigan:Sault Sainte Marie,exelate,1,null,null,null
143535,Travel:USA:Ohio:Toledo,exelate,1,null,null,null
143536,Travel:USA:Oklahoma:Tulsa,exelate,1,null,null,null
143537,Travel:USA:Pennsylvania:Mechanicsburg,exelate,1,null,null,null
143538,Travel:USA:Pennsylvania:Sharon,exelate,1,null,null,null
143539,Travel:USA:Texas:Dallas,exelate,1,null,null,null
143540,Travel:USA:Texas:Houston,exelate,1,null,null,null
143541,Entertainment:Humor,exelate,0.85,null,null,null
143542,Entertainment:Twitter,exelate,0.85,null,null,null
143543,Events:Wedding  Engagement,exelate,0.85,null,null,null
143544,Health Providers,exelate,0.85,null,null,null
143545,Offline:Uniques,exelate,1,null,null,null
143548,Male Mid-Life Crisis,exelate,1,null,null,null
143549,SBO Shoppers,exelate,1,null,null,null
143550,Language:Spanish,Peer39,null,0.05,0.15,null
143551,Language:French,Peer39,null,0.05,0.15,null
143552,Language:Portuguese,Peer39,null,0.05,0.15,null
143553,Language:German,Peer39,null,0.05,0.15,null
143554,Language:Italian,Peer39,null,0.05,0.15,null
143555,Language:Dutch,Peer39,null,0.05,0.15,null
143556,Food&Beverage:HealthyEating,Peer39,null,0.05,0.15,null
143557,PersonalFinance:Credit&Loans:Automotive,Peer39,null,0.05,0.15,null
143558,Home&Garden:Decorating,Peer39,null,0.05,0.15,null
143559,News:Commuting,Peer39,null,0.05,0.15,null
143560,News:Transportation,Peer39,null,0.05,0.15,null
143561,News:Government,Peer39,null,0.05,0.15,null
143572,Shopping:Coupons,Peer39,null,0.05,0.15,null
143574,Shopping:Back to School,exelate,0.85,null,null,null
143575,Shopping:Fashion:Shoes:Sneakers:New Balanc,exelate,0.85,null,null,null
143576,Shopping:Fashion:Shoes:Sneakers:Nike,exelate,0.85,null,null,null
143577,Shopping:Back to School,exelate,1,null,null,null
143578,Shopping:Fashion:Shoes:Sneakers,exelate,1,null,null,null
143579,Shopping:Fashion:Shoes:Sneakers:Adidas,exelate,1,null,null,null
143580,Shopping:Fashion:Shoes:Sneakers:New Balanc,exelate,1,null,null,null
143581,Shopping:Fashion:Shoes:Sneakers:Nike,exelate,1,null,null,null
143582,Shopping:Fashion:Shoes:Sneakers:Vans,exelate,1,null,null,null
143583,Fashion and Style,exelate,0.85,null,null,null
143584,PersonalFinance:Credit&Loans:Education,Peer39,null,0.05,0.15,null
143595,Negative:9/11,Peer39,0.05,null,null,null
143596,Safe from 9/11,Peer39,0.05,null,null,null
143597,Food&Beverage:Recipes,Peer39,null,0.05,0.15,null
143598,Internet:Maps,Peer39,null,0.05,0.15,null
143599,News:Local,Peer39,null,0.05,0.15,null
143600,Technology:Apple,Peer39,null,0.05,0.15,null
